event,pid,condition,pilot,agreed
consent,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,1
pre,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,3,3,2
rating,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,258007,"Louis XV, le Soleil noir (2009)",4.0,13212,0.0,0.001,[],"[""Toy Story 2 (1999)"", ""Aladdin (1992)"", ""Toy Story (1995)"", ""Lion King, The (1994)"", ""Bug's Life, A (1998)""]"
consent,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,1,,,,,,,,,,,,
pre,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,2,4,4,,,,,,,,,
rating,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,,,,,198911,Ordinary Person (2017),4.0,28773,0.0,0.026,[],"[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Shawshank Redemption, The (1994)"", ""Matrix, The (1999)"", ""Star Wars: Episode VI - Return of the Jedi (1983)""]"
consent,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,1,,,,,,,,,,,,
pre,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,3,2,4,,,,,,,,,
rating,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,,,,,137871,Counterpoint (1967),4.0,7907,0.0,0.006,[],"[""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Matrix, The (1999)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Terminator 2: Judgment Day (1991)""]"
rating,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,,,,,73204,On His Own (a.k.a. My Apprenticeship) (V lyudyakh) (1939),3.5,11748,100.0,0.015,"[""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Matrix, The (1999)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Terminator 2: Judgment Day (1991)""]","[""Matrix, The (1999)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Terminator 2: Judgment Day (1991)""]"
rating,72209c0d-31b2-418e-872b-0ada3bdf1cae,guided,0,,,,,,65350,"General Died at Dawn, The (1936)",4.0,17943,100.0,0.038,"[""Matrix, The (1999)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)""]","[""Matrix, The (1999)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Dark Knight, The (2008)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,8055,"Last Broadcast, The (1998)",3.5,9405,0.0,0.06,[],"[""Silence of the Lambs, The (1991)"", ""Halloween (1978)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Exorcist, The (1973)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,128669,Wild Geese II (1985),4.0,10626,100.0,0.016,"[""Silence of the Lambs, The (1991)"", ""Halloween (1978)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Exorcist, The (1973)""]","[""Lord of the Rings: The Return of the King, The (2003)"", ""Silence of the Lambs, The (1991)"", ""Shawshank Redemption, The (1994)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,97051,Here Comes the Devil (Ahí va el diablo) (2012),4.0,4834,0.0,0.077,[],"[""Silence of the Lambs, The (1991)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Shawshank Redemption, The (1994)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,6527,Scaramouche (1952),2.5,7026,100.0,0.195,"[""Silence of the Lambs, The (1991)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Shawshank Redemption, The (1994)""]","[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Dark Knight, The (2008)"", ""Matrix, The (1999)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,246192,Once Upon a Main Street (2020),3.0,199570,0.0,0.001,[],"[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Amelie (Fabuleux destin d'Am\u00e9lie Poulain, Le) (2001)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"", ""Star Wars: Episode VI - Return of the Jedi (1983)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,271317,Leave No Traces (2021),2.0,26035,0.0,0.005,[],"[""Parasite (2019)"", ""Titanic (1997)"", ""Inside Out (2015)"", ""Coco (2017)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,271317,Leave No Traces (2021),2.0,95823,100.0,0.003,"[""Parasite (2019)"", ""Titanic (1997)"", ""Inside Out (2015)"", ""Coco (2017)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)""]","[""Parasite (2019)"", ""Titanic (1997)"", ""Inside Out (2015)"", ""Coco (2017)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,213469,Coda (2020),3.0,7008,100.0,0.014,"[""Parasite (2019)"", ""Titanic (1997)"", ""Inside Out (2015)"", ""Coco (2017)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)""]","[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"", ""Princess Bride, The (1987)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,281032,More Than Ever (2022),4.0,6353,100.0,0.004,"[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"", ""Princess Bride, The (1987)""]","[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"", ""Amelie (Fabuleux destin d'Am\u00e9lie Poulain, Le) (2001)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,169286,Inside the Third Reich (1982),2.0,8130,0.0,0.004,[],"[""Inside Out (2015)"", ""Parasite (2019)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)"", ""Coco (2017)"", ""Monsters, Inc. (2001)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,282585,A Kindhearted Christmas (2021),4.0,5142,100.0,0.003,"[""Inside Out (2015)"", ""Parasite (2019)"", ""Spirited Away (Sen to Chihiro no kamikakushi) (2001)"", ""Coco (2017)"", ""Monsters, Inc. (2001)""]","[""Spirited Away (Sen to Chihiro no kamikakushi) (2001)"", ""Spider-Man: Into the Spider-Verse (2018)"", ""Parasite (2019)"", ""Coco (2017)"", ""Knives Out (2019)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,113707,Kummeli V (2014),4.0,5490,100.0,0.013,"[""Spirited Away (Sen to Chihiro no kamikakushi) (2001)"", ""Spider-Man: Into the Spider-Verse (2018)"", ""Parasite (2019)"", ""Coco (2017)"", ""Knives Out (2019)""]","[""Braveheart (1995)"", ""Fugitive, The (1993)"", ""Heat (1995)"", ""My Neighbor Totoro (Tonari no Totoro) (1988)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,4,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,249760,Whispers (1990),2.0,4246,0.0,0.003,[],"[""Shawshank Redemption, The (1994)"", ""Dark Knight, The (2008)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,177491,The Movie about Alekseev (2014),3.0,5953,100.0,0.023,"[""Shawshank Redemption, The (1994)"", ""Dark Knight, The (2008)"", ""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)""]","[""Star Wars: Episode IV - A New Hope (1977)"", ""Matrix, The (1999)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Terminator 2: Judgment Day (1991)""]"
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
consent,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,1,,,,,,,,,,,,
pre,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,1,3,5,,,,,,,,,
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,245290,Good Morning President (2009),3.0,12392,0.0,0.0,[],"[""Godfather, The (1972)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Godfather: Part II, The (1974)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,54290,Bratz: The Movie (2007),4.0,7547,100.0,0.114,"[""Godfather, The (1972)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Godfather: Part II, The (1974)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)""]","[""Star Wars: Episode IV - A New Hope (1977)"", ""Godfather, The (1972)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Shawshank Redemption, The (1994)"", ""Silence of the Lambs, The (1991)""]"
rating,e51af5b2-f96c-442c-8153-ea009a028b4b,guided,0,,,,,,147966,Tarzan's Fight for Life (1958),4.0,5521,100.0,0.0,"[""Star Wars: Episode IV - A New Hope (1977)"", ""Godfather, The (1972)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Shawshank Redemption, The (1994)"", ""Silence of the Lambs, The (1991)""]","[""Star Wars: Episode IV - A New Hope (1977)"", ""Godfather, The (1972)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Shawshank Redemption, The (1994)"", ""Silence of the Lambs, The (1991)""]"
consent,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,1,,,,,,,,,,,,
pre,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,1,2,4,,,,,,,,,
rating,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,,,,,4955,"Sicilian, The (1987)",3.5,31399,0.0,0.087,[],"[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Inception (2010)"", ""Dark Knight, The (2008)""]"
rating,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,,,,,171359,I Need That Record (2008),4.0,4972,100.0,0.01,"[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Inception (2010)"", ""Dark Knight, The (2008)""]","[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Dark Knight, The (2008)"", ""Inception (2010)""]"
rating,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,,,,,138824,Made in Paris (2006),2.5,5172,100.0,0.022,"[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Dark Knight, The (2008)"", ""Inception (2010)""]","[""Lord of the Rings: The Return of the King, The (2003)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)"", ""Matrix, The (1999)"", ""Dark Knight, The (2008)""]"
consent,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,1,,,,,,,,,,,,
pre,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,2,3,5,,,,,,,,,
rating,2784c4ce-9100-4a02-a3b0-57ccf8452987,guided,0,,,,,,216533,The Quarry (2020),1.0,3081,0.0,0.03,[],"[""Star Wars: Episode IV - A New Hope (1977)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Lord of the Rings: The Fellowship of the Ring, The (2001)"", ""Lord of the Rings: The Two Towers, The (2002)""]"
